Type;Datum;Order;LysimeterType;Material;Cd;Cr;Cu;Ni;Pb;Zn;ID;Time;FecPrev2;EC;PH;FecPrev;Prec;Humidity;AirTemp;EvoTrans;Infiltration;Interflow;SoilMoisture;SoilTemp;SurfaceRunoff
D;21/11/2012;1;1;LL;;;;;;;LL_1;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;2;LL;0,2;2,55;25,3;2,6;8,2;38,15;LL_2;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;3;LL;0,25;4,05;33,6;4,3;4,66;56,25;LL_3;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;OA;OB;;;;;;;OB_OA;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;OA;OB15;;;;;;;OB15_OA;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;OA;BS;;;;;;;BS_OA;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;ZA;OB;;;;;;;OB_ZA;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;ZA;OB15;;;;;;;OB15_ZA;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;ZA;BS;;;;;;;BS_ZA;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;VS;OB;0,8;1,25;28,1;35,2;4,8;57,4;OB_VS;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;VS;OB15;0,35;1,8;14;7;9,3;18,1;OB15_VS;0;12/05/2012;;;;;;;;;;;;
D;21/11/2012;1;VS;BS;0,3;1,7;5,6;13,6;5,4;27,15;BS_VS;0;12/05/2012;;;;;;;;;;;;
D;11/12/2012;2;1;LL;0;3,3;13;2,8;3,9;46,35;LL_1;20;08/12/2012;;;;;;;;;;;;
D;11/12/2012;2;2;LL;0;4,1;11,1;3;2;43,2;LL_2;20;08/12/2012;;;;;;;;;;;;
D;11/12/2012;2;3;LL;0,05;5,85;15,8;2,3;4,2;63,95;LL_3;20;08/12/2012;;;;;;;;;;;;
D;11/12/2012;2;OA;OB;;;;;;;OB_OA;20;08/12/2012;;;;;;;;;;;;
D;11/12/2012;2;OA;OB15;0,1;3;10;1,7;2,7;27;OB15_OA;20;08/12/2012;;;;;;;;;;;;
D;11/12/2012;2;OA;BS;1,75;7,45;123,2;8,1;2,37;78,25;BS_OA;20;08/12/2012;;;;;;;;;;;;
D;11/12/2012;2;ZA;OB;0,35;3,8;45,3;4,3;14,9;40,65;OB_ZA;20;08/12/2012;;;;;;;;;;;;
