datetime;tair;prec;rh;rs;u10;pair;tdew
2016-06-03 00:00:00;17.1;5;91.9;1;1.7;1003.6;15.9
2016-06-03 01:00:00;16.6;1.9;95;1;0.8;1003.8;15.9
2016-06-03 02:00:00;16.9;0;95.4;1;1.3;1003.8;16.2
2016-06-03 03:00:00;16.4;0;95.3;1;1.2;1003.8;15.7
2016-06-03 04:00:00;16.1;0;96.6;36;1.2;1003.8;15.6
2016-06-03 05:00:00;17.5;0;92.5;159;1.4;1003.8;16.4
2016-06-03 06:00:00;19.9;0;78.1;307;1.6;1003.8;16
2016-06-03 07:00:00;21.7;0;66;462;2.1;1004.3;15.1
2016-06-03 08:00:00;23.1;0;55.1;622;2.8;1004.9;13.6
2016-06-03 09:00:00;23.8;0;45.6;755;3.7;1004.9;11.4
2016-06-03 10:00:00;24.4;0;39.2;855;4.2;1004.7;9.7
2016-06-03 11:00:00;24.9;0;37.9;888;4;1004.8;9.6
2016-06-03 12:00:00;25.3;0;36.3;814;4;1004.6;9.3
2016-06-03 13:00:00;25.6;0;35.1;861;3.8;1004.4;9.1
2016-06-03 14:00:00;26;0;33.7;811;3.4;1004.4;8.9
2016-06-03 15:00:00;26.2;0;33;672;3.2;1004.4;8.7
2016-06-03 16:00:00;26.2;0;33.5;536;2.8;1004.3;8.9
2016-06-03 17:00:00;25.5;0;36;360;2.3;1004;9.3
2016-06-03 18:00:00;24.5;0;37.4;170;2.1;1003.7;9.1
2016-06-03 19:00:00;23.3;0;40.7;70;1.4;1003.7;9.3
2016-06-03 20:00:00;21;0;48.8;6;1.2;1003.7;9.8
2016-06-03 21:00:00;19;0;61.4;0;1;1003.8;11.5
2016-06-03 22:00:00;17.1;0;75.6;0;0.3;1003.8;12.8
2016-06-03 23:00:00;16;0;84.5;0;0.5;1003.8;13.5
2016-06-04 00:00:00;15.4;0;87.8;0;0.3;1004.1;13.4
2016-06-04 01:00:00;15.4;0;88.9;0;0.6;1004.4;13.6
2016-06-04 02:00:00;14.4;0;91.4;0;0.1;1004.4;13
2016-06-04 03:00:00;13.6;0;95.1;2;0.2;1004.4;12.9
2016-06-04 04:00:00;13.9;0;95.7;42;0.2;1004.4;13.3
2016-06-04 05:00:00;17.4;0;83.8;162;0.3;1004.4;14.6
2016-06-04 06:00:00;20.3;0;66.1;245;0.4;1004.6;13.8
2016-06-04 07:00:00;22;0;53.5;464;0.8;1004.9;12.2
2016-06-04 08:00:00;23.9;0;44.3;616;1.2;1005.6;11
2016-06-04 09:00:00;24.8;0;41.5;745;1.6;1006;10.9
2016-06-04 10:00:00;25.7;0;39.7;793;1.7;1006;11
2016-06-04 11:00:00;26.1;0;37.9;789;1.7;1006;10.7
2016-06-04 12:00:00;26.8;0;35.4;809;2.1;1006;10.3
2016-06-04 13:00:00;27;0;35.2;855;2.3;1006;10.4
2016-06-04 14:00:00;27.8;0;33;794;1.9;1006;10.1
2016-06-04 15:00:00;28;0;32.4;658;1.7;1006;10.1
2016-06-04 16:00:00;27.9;0;32.6;475;1.5;1006;10
2016-06-04 17:00:00;27.4;0;33;331;1.8;1005.8;9.7
2016-06-04 18:00:00;26.2;0;36.6;121;1;1005.4;10.2
2016-06-04 19:00:00;23.6;0;45.8;25;1.8;1004.7;11.3
2016-06-04 20:00:00;21.9;0;52.8;3;0.9;1004.4;11.9
2016-06-04 21:00:00;19.4;0;69;1;0.3;1004.6;13.6
2016-06-04 22:00:00;18.5;0;75.1;1;0.2;1004.9;14.1
2016-06-04 23:00:00;17.4;0;83.5;0;0.1;1004.9;14.6
2016-06-05 00:00:00;16.2;0;89.1;0;0.2;1005.1;14.5
2016-06-05 01:00:00;15.2;0;93.6;0;0.3;1005.6;14.2
2016-06-05 02:00:00;14.8;0;95.6;0;0.3;1005.9;14.1
