"","date_time","vwc10cm","vwc20","vwc35","vwc50"
"1","22.06.2010 14:00",0.238,0.302,0.303,0.249
"2","22.06.2010 15:00",0.238,0.302,0.303,0.249
"3","22.06.2010 16:00",0.238,0.302,0.304,0.25
"4","22.06.2010 17:00",0.239,0.303,0.304,0.25
"5","22.06.2010 18:00",0.239,0.303,0.304,0.25
"6","22.06.2010 19:00",0.239,0.304,0.305,0.25
"7","22.06.2010 20:00",0.239,0.304,0.306,0.25
"8","22.06.2010 21:00",0.239,0.305,0.306,0.25
"9","22.06.2010 22:00",0.239,0.305,0.307,0.25
"10","22.06.2010 23:00",0.239,0.306,0.307,0.249
"11","23.06.2010 00:00",0.239,0.306,0.308,0.249
"12","23.06.2010 01:00",0.239,0.306,0.307,0.248
"13","23.06.2010 02:00",0.239,0.307,0.307,0.248
"14","23.06.2010 03:00",0.24,0.306,0.307,0.248
"15","23.06.2010 04:00",0.24,0.307,0.307,0.247
"16","23.06.2010 05:00",0.24,0.307,0.307,0.247
"17","23.06.2010 06:00",0.24,0.307,0.307,0.247
"18","23.06.2010 07:00",0.24,0.308,0.307,0.246
"19","23.06.2010 08:00",0.24,0.308,0.307,0.246
"20","23.06.2010 09:00",0.24,0.308,0.306,0.246
"21","23.06.2010 10:00",0.24,0.308,0.306,0.246
"22","23.06.2010 11:00",0.24,0.308,0.306,0.246
"23","23.06.2010 12:00",0.24,0.308,0.306,0.246
"24","23.06.2010 13:00",0.24,0.309,0.306,0.248
"25","23.06.2010 14:00",0.24,0.311,0.306,0.277
"26","23.06.2010 15:00",0.241,0.312,0.322,0.302
"27","23.06.2010 16:00",0.241,0.324,0.343,0.32
"28","23.06.2010 17:00",0.241,0.332,0.346,0.324
"29","23.06.2010 18:00",0.241,0.335,0.345,0.324
"30","23.06.2010 19:00",0.241,0.335,0.341,0.323
"31","23.06.2010 20:00",0.241,0.336,0.339,0.321
"32","23.06.2010 21:00",0.241,0.335,0.338,0.32
"33","23.06.2010 22:00",0.241,0.335,0.337,0.319
"34","23.06.2010 23:00",0.241,0.335,0.336,0.318
"35","24.06.2010 00:00",0.241,0.334,0.336,0.316
"36","24.06.2010 01:00",0.241,0.335,0.334,0.316
"37","24.06.2010 02:00",0.241,0.334,0.333,0.315
"38","24.06.2010 03:00",0.242,0.334,0.333,0.315
"39","24.06.2010 04:00",0.242,0.334,0.332,0.314
"40","24.06.2010 05:00",0.242,0.334,0.332,0.313
"41","24.06.2010 06:00",0.242,0.334,0.331,0.313
"42","24.06.2010 07:00",0.242,0.333,0.331,0.313
"43","24.06.2010 08:00",0.242,0.334,0.331,0.312
"44","24.06.2010 09:00",0.242,0.333,0.331,0.313
"45","24.06.2010 10:00",0.242,0.333,0.33,0.311
"46","24.06.2010 11:00",0.243,0.332,0.33,0.306
"47","24.06.2010 12:00",0.243,0.332,0.33,0.307
"48","24.06.2010 13:00",0.243,0.333,0.33,0.308
"49","24.06.2010 14:00",0.243,0.332,0.33,0.309
"50","24.06.2010 15:00",0.243,0.332,0.33,0.309
"51","24.06.2010 16:00",0.243,0.332,0.33,0.31
"52","24.06.2010 17:00",0.243,0.331,0.33,0.31
"53","24.06.2010 18:00",0.243,0.332,0.33,0.31
"54","24.06.2010 19:00",0.243,0.332,0.33,0.309
"55","24.06.2010 20:00",0.243,0.332,0.331,0.308
"56","24.06.2010 21:00",0.244,0.332,0.331,0.307
"57","24.06.2010 22:00",0.243,0.332,0.331,0.306
"58","24.06.2010 23:00",0.243,0.332,0.331,0.305
"59","25.06.2010 00:00",0.243,0.332,0.331,0.305
"60","25.06.2010 01:00",0.244,0.332,0.331,0.304
"61","25.06.2010 02:00",0.244,0.332,0.33,0.303
"62","25.06.2010 03:00",0.244,0.331,0.33,0.302
"63","25.06.2010 04:00",0.244,0.331,0.33,0.301
"64","25.06.2010 05:00",0.244,0.332,0.33,0.3
"65","25.06.2010 06:00",0.244,0.332,0.33,0.3
"66","25.06.2010 07:00",0.244,0.332,0.329,0.299
"67","25.06.2010 08:00",0.244,0.331,0.329,0.298
"68","25.06.2010 09:00",0.244,0.332,0.329,0.298
"69","25.06.2010 10:00",0.244,0.331,0.328,0.298
"70","25.06.2010 11:00",0.244,0.331,0.328,0.298
"71","25.06.2010 12:00",0.244,0.331,0.328,0.299
"72","25.06.2010 13:00",0.244,0.331,0.328,0.3
"73","25.06.2010 14:00",0.244,0.331,0.328,0.301
"74","25.06.2010 15:00",0.244,0.33,0.328,0.301
"75","25.06.2010 16:00",0.244,0.331,0.328,0.302
"76","25.06.2010 17:00",0.244,0.33,0.328,0.302
"77","25.06.2010 18:00",0.244,0.331,0.329,0.302
"78","25.06.2010 19:00",0.244,0.331,0.329,0.301
"79","25.06.2010 20:00",0.244,0.331,0.329,0.301
"80","25.06.2010 21:00",0.244,0.33,0.329,0.3
"81","25.06.2010 22:00",0.244,0.33,0.33,0.299
"82","25.06.2010 23:00",0.244,0.33,0.329,0.299
"83","26.06.2010 00:00",0.244,0.33,0.329,0.298
"84","26.06.2010 01:00",0.244,0.331,0.329,0.298
"85","26.06.2010 02:00",0.245,0.331,0.329,0.296
"86","26.06.2010 03:00",0.244,0.331,0.329,0.296
"87","26.06.2010 04:00",0.245,0.33,0.329,0.295
"88","26.06.2010 05:00",0.245,0.331,0.328,0.295
"89","26.06.2010 06:00",0.245,0.331,0.328,0.294
"90","26.06.2010 07:00",0.245,0.331,0.328,0.293
"91","26.06.2010 08:00",0.245,0.33,0.328,0.292
"92","26.06.2010 09:00",0.245,0.33,0.327,0.292
"93","26.06.2010 10:00",0.245,0.33,0.327,0.292
"94","26.06.2010 11:00",0.245,0.33,0.327,0.292
"95","26.06.2010 12:00",0.245,0.33,0.326,0.293
"96","26.06.2010 13:00",0.245,0.33,0.327,0.293
"97","26.06.2010 14:00",0.245,0.33,0.326,0.294
"98","26.06.2010 15:00",0.245,0.33,0.327,0.294
"99","26.06.2010 16:00",0.245,0.33,0.327,0.295
"100","26.06.2010 17:00",0.245,0.33,0.327,0.295
"101","26.06.2010 18:00",0.245,0.329,0.328,0.295
"102","26.06.2010 19:00",0.245,0.33,0.328,0.293
"103","26.06.2010 20:00",0.245,0.33,0.328,0.293
"104","26.06.2010 21:00",0.245,0.329,0.329,0.292
"105","26.06.2010 22:00",0.245,0.329,0.329,0.291
"106","26.06.2010 23:00",0.245,0.33,0.329,0.29
"107","27.06.2010 00:00",0.245,0.33,0.329,0.289
"108","27.06.2010 01:00",0.245,0.33,0.328,0.289
"109","27.06.2010 02:00",0.245,0.33,0.328,0.288
"110","27.06.2010 03:00",0.245,0.33,0.328,0.287
"111","27.06.2010 04:00",0.245,0.33,0.328,0.286
"112","27.06.2010 05:00",0.245,0.329,0.327,0.284
"113","27.06.2010 06:00",0.245,0.33,0.326,0.284
"114","27.06.2010 07:00",0.245,0.329,0.326,0.284
"115","27.06.2010 08:00",0.252,0.332,0.329,0.29
"116","27.06.2010 09:00",0.365,0.372,0.361,0.373
"117","27.06.2010 10:00",0.36,0.371,0.349,0.373
"118","27.06.2010 11:00",0.354,0.369,0.35,0.373
"119","27.06.2010 12:00",0.352,0.366,0.353,0.373
"120","27.06.2010 13:00",0.331,0.364,0.353,0.373
"121","27.06.2010 14:00",0.302,0.364,0.352,0.373
"122","27.06.2010 15:00",0.298,0.363,0.351,0.372
"123","27.06.2010 16:00",0.297,0.362,0.35,0.369
"124","27.06.2010 17:00",0.295,0.362,0.35,0.368
"125","27.06.2010 18:00",0.293,0.362,0.35,0.366
"126","27.06.2010 19:00",0.292,0.362,0.346,0.366
"127","27.06.2010 20:00",0.291,0.361,0.345,0.364
"128","27.06.2010 21:00",0.29,0.361,0.345,0.354
"129","27.06.2010 22:00",0.289,0.361,0.344,0.337
"130","27.06.2010 23:00",0.288,0.36,0.344,0.331
"131","28.06.2010 00:00",0.287,0.36,0.343,0.33
"132","28.06.2010 01:00",0.286,0.36,0.343,0.328
"133","28.06.2010 02:00",0.286,0.36,0.343,0.328
"134","28.06.2010 03:00",0.285,0.36,0.342,0.327
