date_time	vwc10cm	vwc20	vwc35	vwc50
22.06.2010 14:00	0.238	0.302	0.303	0.249
22.06.2010 15:00	0.238	0.302	0.303	0.249
22.06.2010 16:00	0.238	0.302	0.304	0.250
22.06.2010 17:00	0.239	0.303	0.304	0.250
22.06.2010 18:00	0.239	0.303	0.304	0.250
22.06.2010 19:00	0.239	0.304	0.305	0.250
22.06.2010 20:00	0.239	0.304	0.306	0.250
22.06.2010 21:00	0.239	0.305	0.306	0.250
22.06.2010 22:00	0.239	0.305	0.307	0.250
22.06.2010 23:00	0.239	0.306	0.307	0.249
23.06.2010 00:00	0.239	0.306	0.308	0.249
23.06.2010 01:00	0.239	0.306	0.307	0.248
23.06.2010 02:00	0.239	0.307	0.307	0.248
23.06.2010 03:00	0.240	0.306	0.307	0.248
23.06.2010 04:00	0.240	0.307	0.307	0.247
23.06.2010 05:00	0.240	0.307	0.307	0.247
23.06.2010 06:00	0.240	0.307	0.307	0.247
23.06.2010 07:00	0.240	0.308	0.307	0.246
23.06.2010 08:00	0.240	0.308	0.307	0.246
23.06.2010 09:00	0.240	0.308	0.306	0.246
23.06.2010 10:00	0.240	0.308	0.306	0.246
23.06.2010 11:00	0.240	0.308	0.306	0.246
23.06.2010 12:00	0.240	0.308	0.306	0.246
23.06.2010 13:00	0.240	0.309	0.306	0.248
23.06.2010 14:00	0.240	0.311	0.306	0.277
23.06.2010 15:00	0.241	0.312	0.322	0.302
23.06.2010 16:00	0.241	0.324	0.343	0.320
23.06.2010 17:00	0.241	0.332	0.346	0.324
23.06.2010 18:00	0.241	0.335	0.345	0.324
23.06.2010 19:00	0.241	0.335	0.341	0.323
23.06.2010 20:00	0.241	0.336	0.339	0.321
23.06.2010 21:00	0.241	0.335	0.338	0.320
23.06.2010 22:00	0.241	0.335	0.337	0.319
23.06.2010 23:00	0.241	0.335	0.336	0.318
24.06.2010 00:00	0.241	0.334	0.336	0.316
24.06.2010 01:00	0.241	0.335	0.334	0.316
24.06.2010 02:00	0.241	0.334	0.333	0.315
24.06.2010 03:00	0.242	0.334	0.333	0.315
24.06.2010 04:00	0.242	0.334	0.332	0.314
24.06.2010 05:00	0.242	0.334	0.332	0.313
24.06.2010 06:00	0.242	0.334	0.331	0.313
24.06.2010 07:00	0.242	0.333	0.331	0.313
24.06.2010 08:00	0.242	0.334	0.331	0.312
